,Country,MEASURE,Age group,Year,Unit Code,Unit,Value
25376,Austria,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
25377,Austria,CPI2010,Working age population: 18-65,2011,IDX,Index,103.2865905
25378,Austria,CPI2010,Working age population: 18-65,2012,IDX,Index,105.8539533
25379,Austria,CPI2010,Working age population: 18-65,2013,IDX,Index,107.97120520000001
25380,Austria,CPI2010,Working age population: 18-65,2014,IDX,Index,109.70500849999999
25381,Austria,CPI2010,Working age population: 18-65,2015,IDX,Index,110.6885496
25382,Austria,CPI2010,Working age population: 18-65,2016,IDX,Index,111.67547749999999
25383,Austria,CPI2010,Working age population: 18-65,2017,IDX,Index,113.99974409999999
25384,Austria,CPI2010,Working age population: 18-65,2018,IDX,Index,116.2778574
25652,Belgium,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.257
25658,Belgium,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.263
25659,Belgium,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.262
25660,Belgium,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.263
25661,Belgium,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.26
25662,Belgium,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.261
25663,Belgium,CPI2010,Working age population: 18-65,2018,IDX,Index,115.4516399
25669,Belgium,CPI2010,Working age population: 18-65,2009,IDX,Index,97.85760515
25670,Belgium,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
25671,Belgium,CPI2010,Working age population: 18-65,2011,IDX,Index,103.5320837
25672,Belgium,CPI2010,Working age population: 18-65,2012,IDX,Index,106.47204860000001
25673,Belgium,CPI2010,Working age population: 18-65,2013,IDX,Index,107.65717679999999
25951,Canada,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.32
25952,Canada,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.318
25953,Canada,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.316
25954,Canada,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.318
25955,Canada,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.322
25956,Canada,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.316
25957,Canada,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.322
25958,Canada,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.311
25959,Canada,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.315
25960,Canada,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.309
25966,Canada,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.326
25967,Canada,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.32299999999999995
25968,Canada,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.32
25974,Canada,CPI2010,Working age population: 18-65,2009,IDX,Index,98.25414078
25975,Canada,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
25976,Canada,CPI2010,Working age population: 18-65,2011,IDX,Index,102.9121272
25977,Canada,CPI2010,Working age population: 18-65,2012,IDX,Index,104.47195079999999
25978,Canada,CPI2010,Working age population: 18-65,2013,IDX,Index,105.45219399999999
25979,Canada,CPI2010,Working age population: 18-65,2014,IDX,Index,107.46278909999998
25980,Canada,CPI2010,Working age population: 18-65,2015,IDX,Index,108.67200420000002
25981,Canada,CPI2010,Working age population: 18-65,2016,IDX,Index,110.2247098
25982,Canada,CPI2010,Working age population: 18-65,2017,IDX,Index,111.9848702
25983,Canada,CPI2010,Working age population: 18-65,2018,IDX,Index,114.52486100000002
25989,Canada,CPI2010,Working age population: 18-65,2009,IDX,Index,98.25414078
25990,Canada,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
25991,Canada,CPI2010,Working age population: 18-65,2011,IDX,Index,102.9121272
26565,Czech Republic,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.252
26566,Czech Republic,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.255
26567,Czech Republic,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.256
26568,Czech Republic,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.255
26569,Czech Republic,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.257
26570,Czech Republic,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.255
26571,Czech Republic,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.255
26572,Czech Republic,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.249
26573,Czech Republic,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.243
26574,Czech Republic,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.24100000000000002
26580,Czech Republic,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.254
26581,Czech Republic,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.254
26582,Czech Republic,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.255
26583,Czech Republic,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.254
26584,Czech Republic,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.257
26590,Czech Republic,CPI2010,Working age population: 18-65,2009,IDX,Index,98.5486365
26591,Czech Republic,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
26592,Czech Republic,CPI2010,Working age population: 18-65,2011,IDX,Index,101.9172155
26593,Czech Republic,CPI2010,Working age population: 18-65,2012,IDX,Index,105.2678622
26594,Czech Republic,CPI2010,Working age population: 18-65,2013,IDX,Index,106.78193490000001
26595,Czech Republic,CPI2010,Working age population: 18-65,2014,IDX,Index,107.14924540000001
26596,Czech Republic,CPI2010,Working age population: 18-65,2015,IDX,Index,107.4807344
26597,Czech Republic,CPI2010,Working age population: 18-65,2016,IDX,Index,108.21533390000002
26598,Czech Republic,CPI2010,Working age population: 18-65,2017,IDX,Index,110.86722409999999
26599,Czech Republic,CPI2010,Working age population: 18-65,2018,IDX,Index,113.25034529999999
26605,Czech Republic,CPI2010,Working age population: 18-65,2009,IDX,Index,98.5486365
26606,Czech Republic,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
26607,Czech Republic,CPI2010,Working age population: 18-65,2011,IDX,Index,101.9172155
26608,Czech Republic,CPI2010,Working age population: 18-65,2012,IDX,Index,105.2678622
26609,Czech Republic,CPI2010,Working age population: 18-65,2013,IDX,Index,106.78193490000001
27205,Denmark,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.249
27206,Denmark,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.249
27207,Denmark,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.255
27208,Denmark,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.257
27209,Denmark,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.265
27210,Denmark,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.263
27211,Denmark,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.265
27216,Denmark,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.233
27217,Denmark,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.248
27218,Denmark,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.25
27219,Denmark,CPI2010,Working age population: 18-65,2011,IDX,Index,102.7586714
27220,Denmark,CPI2010,Working age population: 18-65,2012,IDX,Index,105.2227478
27221,Denmark,CPI2010,Working age population: 18-65,2013,IDX,Index,106.0530308
27222,Denmark,CPI2010,Working age population: 18-65,2014,IDX,Index,106.65118799999999
27223,Denmark,CPI2010,Working age population: 18-65,2015,IDX,Index,107.1332878
27224,Denmark,CPI2010,Working age population: 18-65,2016,IDX,Index,107.40112109999998
27225,Denmark,CPI2010,Working age population: 18-65,2017,IDX,Index,108.63315390000001
27230,Denmark,CPI2010,Working age population: 18-65,2009,IDX,Index,97.74126604
27231,Denmark,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
27232,Denmark,CPI2010,Working age population: 18-65,2011,IDX,Index,102.7586714
27600,Finland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.261
27601,Finland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.267
27602,Finland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.267
27603,Finland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.26
27604,Finland,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.262
27605,Finland,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.262
27606,Finland,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.267
27607,Finland,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.265
27608,Finland,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.275
27609,Finland,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.275
27615,Finland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.262
27616,Finland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.268
27617,Finland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.268
27618,Finland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.261
27624,Finland,CPI2010,Working age population: 18-65,2009,IDX,Index,98.82971434
27625,Finland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
27626,Finland,CPI2010,Working age population: 18-65,2011,IDX,Index,103.4168037
27627,Finland,CPI2010,Working age population: 18-65,2012,IDX,Index,106.3210853
27628,Finland,CPI2010,Working age population: 18-65,2013,IDX,Index,107.8928243
27629,Finland,CPI2010,Working age population: 18-65,2014,IDX,Index,109.01625200000001
27630,Finland,CPI2010,Working age population: 18-65,2015,IDX,Index,108.7895233
27631,Finland,CPI2010,Working age population: 18-65,2016,IDX,Index,109.1775949
27632,Finland,CPI2010,Working age population: 18-65,2017,IDX,Index,110.0007376
27633,Finland,CPI2010,Working age population: 18-65,2018,IDX,Index,111.1930216
27639,Finland,CPI2010,Working age population: 18-65,2009,IDX,Index,98.82971434
27640,Finland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
27641,Finland,CPI2010,Working age population: 18-65,2011,IDX,Index,103.4168037
27642,Finland,CPI2010,Working age population: 18-65,2012,IDX,Index,106.3210853
28242,France,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.307
28243,France,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.29100000000000004
28244,France,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.297
28245,France,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.299
28246,France,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.29600000000000004
28247,France,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.29600000000000004
28248,France,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.307
28254,France,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.293
28255,France,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.301
28256,France,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.31
28257,France,CPI2010,Working age population: 18-65,2012,IDX,Index,104.107058
28258,France,CPI2010,Working age population: 18-65,2013,IDX,Index,105.0062503
28259,France,CPI2010,Working age population: 18-65,2014,IDX,Index,105.5394288
28260,France,CPI2010,Working age population: 18-65,2015,IDX,Index,105.5790213
28261,France,CPI2010,Working age population: 18-65,2016,IDX,Index,105.77258090000001
28262,France,CPI2010,Working age population: 18-65,2017,IDX,Index,106.8644882
28263,France,CPI2010,Working age population: 18-65,2018,IDX,Index,108.84231640000002
28269,France,CPI2010,Working age population: 18-65,2009,IDX,Index,98.49197065
28270,France,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
28271,France,CPI2010,Working age population: 18-65,2011,IDX,Index,102.111598
28572,Germany,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.295
28573,Germany,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.292
28574,Germany,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.299
28575,Germany,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.294
28576,Germany,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.301
28577,Germany,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.301
28578,Germany,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.29600000000000004
28584,Germany,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.289
28585,Germany,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.285
28586,Germany,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.298
28588,Germany,CPI2010,Working age population: 18-65,2011,IDX,Index,102.07517259999999
28589,Germany,CPI2010,Working age population: 18-65,2012,IDX,Index,104.12533559999999
28590,Germany,CPI2010,Working age population: 18-65,2013,IDX,Index,105.69213740000001
28591,Germany,CPI2010,Working age population: 18-65,2014,IDX,Index,106.65055179999999
28592,Germany,CPI2010,Working age population: 18-65,2015,IDX,Index,107.1991865
28593,Germany,CPI2010,Working age population: 18-65,2016,IDX,Index,107.72628490000001
28594,Germany,CPI2010,Working age population: 18-65,2017,IDX,Index,109.35249650000002
28600,Germany,CPI2010,Working age population: 18-65,2009,IDX,Index,98.90824061
28601,Germany,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
28602,Germany,CPI2010,Working age population: 18-65,2011,IDX,Index,102.07517259999999
28945,Greece,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.337
28946,Greece,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.33899999999999997
28947,Greece,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.341
28948,Greece,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.348
28949,Greece,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.35100000000000003
28950,Greece,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.35
28951,Greece,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.354
28952,Greece,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.344
28953,Greece,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.331
28954,Greece,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.316
28959,Greece,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.337
28960,Greece,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.33799999999999997
28961,Greece,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.341
28962,Greece,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.349
28963,Greece,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.353
28969,Greece,CPI2010,Working age population: 18-65,2009,IDX,Index,95.49914914
28970,Greece,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
28971,Greece,CPI2010,Working age population: 18-65,2011,IDX,Index,103.32991820000001
28972,Greece,CPI2010,Working age population: 18-65,2012,IDX,Index,104.88139369999999
28973,Greece,CPI2010,Working age population: 18-65,2013,IDX,Index,103.91419040000001
28974,Greece,CPI2010,Working age population: 18-65,2014,IDX,Index,102.55166120000001
28975,Greece,CPI2010,Working age population: 18-65,2015,IDX,Index,100.771334
28976,Greece,CPI2010,Working age population: 18-65,2016,IDX,Index,99.93930543
28977,Greece,CPI2010,Working age population: 18-65,2017,IDX,Index,101.05984240000001
28978,Greece,CPI2010,Working age population: 18-65,2018,IDX,Index,101.6921825
28983,Greece,CPI2010,Working age population: 18-65,2009,IDX,Index,95.49914914
28984,Greece,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
28985,Greece,CPI2010,Working age population: 18-65,2011,IDX,Index,103.32991820000001
28986,Greece,CPI2010,Working age population: 18-65,2012,IDX,Index,104.88139369999999
28987,Greece,CPI2010,Working age population: 18-65,2013,IDX,Index,103.91419040000001
29555,Hungary,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.245
29556,Hungary,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.273
29557,Hungary,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.275
29558,Hungary,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.287
29559,Hungary,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.297
29560,Hungary,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.28800000000000003
29561,Hungary,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.29100000000000004
29562,Hungary,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.28600000000000003
29563,Hungary,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.294
29564,Hungary,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.307
29567,Hungary,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.28300000000000003
29568,Hungary,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.293
29572,Hungary,CPI2010,Working age population: 18-65,2009,IDX,Index,95.36930448
29573,Hungary,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
29574,Hungary,CPI2010,Working age population: 18-65,2011,IDX,Index,103.9299316
29575,Hungary,CPI2010,Working age population: 18-65,2012,IDX,Index,109.8042007
29576,Hungary,CPI2010,Working age population: 18-65,2013,IDX,Index,111.70731470000001
29577,Hungary,CPI2010,Working age population: 18-65,2014,IDX,Index,111.4531355
29578,Hungary,CPI2010,Working age population: 18-65,2015,IDX,Index,111.3844113
29579,Hungary,CPI2010,Working age population: 18-65,2016,IDX,Index,111.824157
29580,Hungary,CPI2010,Working age population: 18-65,2017,IDX,Index,114.4500445
29581,Hungary,CPI2010,Working age population: 18-65,2018,IDX,Index,117.7121597
29584,Hungary,CPI2010,Working age population: 18-65,2009,IDX,Index,95.36930448
29585,Hungary,CPI2010,Working age population: 18-65,2012,IDX,Index,109.8042007
29947,Iceland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.267
29948,Iceland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.25
29949,Iceland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.251
29950,Iceland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.253
29951,Iceland,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.242
29952,Iceland,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.243
29953,Iceland,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.256
29954,Iceland,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.262
29955,Iceland,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.249
29961,Iceland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.268
29962,Iceland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.248
29963,Iceland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.25
29964,Iceland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.252
29965,Iceland,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.244
29971,Iceland,CPI2010,Working age population: 18-65,2009,IDX,Index,94.87960241
29972,Iceland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
29973,Iceland,CPI2010,Working age population: 18-65,2011,IDX,Index,104.0010243
29974,Iceland,CPI2010,Working age population: 18-65,2012,IDX,Index,109.39441540000001
29975,Iceland,CPI2010,Working age population: 18-65,2013,IDX,Index,113.63046270000001
29976,Iceland,CPI2010,Working age population: 18-65,2014,IDX,Index,115.95377649999999
29977,Iceland,CPI2010,Working age population: 18-65,2015,IDX,Index,117.8473716
29978,Iceland,CPI2010,Working age population: 18-65,2016,IDX,Index,119.8471237
29979,Iceland,CPI2010,Working age population: 18-65,2017,IDX,Index,121.9569452
29985,Iceland,CPI2010,Working age population: 18-65,2009,IDX,Index,94.87960241
29986,Iceland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
29987,Iceland,CPI2010,Working age population: 18-65,2011,IDX,Index,104.0010243
29988,Iceland,CPI2010,Working age population: 18-65,2012,IDX,Index,109.39441540000001
29989,Iceland,CPI2010,Working age population: 18-65,2013,IDX,Index,113.63046270000001
30553,Ireland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.315
30554,Ireland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.301
30555,Ireland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.312
30556,Ireland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.314
30557,Ireland,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.318
30558,Ireland,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.3
30559,Ireland,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.3
30560,Ireland,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.311
30561,Ireland,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.293
30567,Ireland,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.316
30568,Ireland,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.301
30569,Ireland,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.305
30570,Ireland,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.308
30571,Ireland,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.315
30577,Ireland,CPI2010,Working age population: 18-65,2009,IDX,Index,100.93067959999999
30578,Ireland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
30579,Ireland,CPI2010,Working age population: 18-65,2011,IDX,Index,102.55719599999999
30580,Ireland,CPI2010,Working age population: 18-65,2012,IDX,Index,104.2967829
30581,Ireland,CPI2010,Working age population: 18-65,2013,IDX,Index,104.82737009999998
30582,Ireland,CPI2010,Working age population: 18-65,2014,IDX,Index,105.0186831
30583,Ireland,CPI2010,Working age population: 18-65,2015,IDX,Index,104.7142787
30584,Ireland,CPI2010,Working age population: 18-65,2016,IDX,Index,104.72296999999999
30585,Ireland,CPI2010,Working age population: 18-65,2017,IDX,Index,105.07962679999999
30591,Ireland,CPI2010,Working age population: 18-65,2009,IDX,Index,100.93067959999999
30592,Ireland,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
30593,Ireland,CPI2010,Working age population: 18-65,2011,IDX,Index,102.55719599999999
30594,Ireland,CPI2010,Working age population: 18-65,2012,IDX,Index,104.2967829
30595,Ireland,CPI2010,Working age population: 18-65,2013,IDX,Index,104.82737009999998
31172,Italy,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.314
31173,Italy,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.32899999999999996
31174,Italy,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.32899999999999996
31175,Italy,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.335
31176,Italy,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.32799999999999996
31177,Italy,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.33
31178,Italy,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.33899999999999997
31179,Italy,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.331
31180,Italy,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.34
31183,Italy,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.313
31184,Italy,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.32299999999999995
31185,Italy,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.32899999999999996
31186,Italy,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.33399999999999996
31187,Italy,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.32799999999999996
31193,Italy,CPI2010,Working age population: 18-65,2009,IDX,Index,98.4974009
31194,Italy,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
31195,Italy,CPI2010,Working age population: 18-65,2011,IDX,Index,102.78063900000001
31196,Italy,CPI2010,Working age population: 18-65,2012,IDX,Index,105.9065635
31197,Italy,CPI2010,Working age population: 18-65,2013,IDX,Index,107.1986256
31198,Italy,CPI2010,Working age population: 18-65,2014,IDX,Index,107.4570251
31199,Italy,CPI2010,Working age population: 18-65,2015,IDX,Index,107.49870449999999
31200,Italy,CPI2010,Working age population: 18-65,2016,IDX,Index,107.3976351
31201,Italy,CPI2010,Working age population: 18-65,2017,IDX,Index,108.7149027
31204,Italy,CPI2010,Working age population: 18-65,2009,IDX,Index,98.4974009
31205,Italy,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
31206,Italy,CPI2010,Working age population: 18-65,2011,IDX,Index,102.78063900000001
31207,Italy,CPI2010,Working age population: 18-65,2012,IDX,Index,105.9065635
31208,Italy,CPI2010,Working age population: 18-65,2013,IDX,Index,107.1986256
31693,Japan,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.332
31694,Japan,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.32
31696,Japan,CPI2010,Working age population: 18-65,2009,IDX,Index,100.7252007
31697,Japan,CPI2010,Working age population: 18-65,2012,IDX,Index,99.6805698
31771,Korea,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.337
31772,Korea,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.33799999999999997
31773,Korea,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.337
31774,Korea,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.325
31778,Korea,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.3
31779,Korea,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.297
31780,Korea,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.294
31781,Korea,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.287
31785,Korea,CPI2010,Working age population: 18-65,2009,IDX,Index,97.14473991
31786,Korea,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
31787,Korea,CPI2010,Working age population: 18-65,2011,IDX,Index,104.02585359999999
31788,Korea,CPI2010,Working age population: 18-65,2012,IDX,Index,106.3011216
31994,Luxembourg,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.308
31995,Luxembourg,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.308
31996,Luxembourg,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.33
31997,Luxembourg,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.321
32003,Luxembourg,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.281
32004,Luxembourg,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.272
32005,Luxembourg,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.275
32006,Luxembourg,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.298
32007,Luxembourg,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.278
32008,Luxembourg,CPI2010,Working age population: 18-65,2015,IDX,Index,109.2001092
32009,Luxembourg,CPI2010,Working age population: 18-65,2016,IDX,Index,109.51766310000001
32010,Luxembourg,CPI2010,Working age population: 18-65,2017,IDX,Index,111.41326780000001
32011,Luxembourg,CPI2010,Working age population: 18-65,2018,IDX,Index,113.11580670000001
32017,Luxembourg,CPI2010,Working age population: 18-65,2009,IDX,Index,97.77687142
32018,Luxembourg,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
32019,Luxembourg,CPI2010,Working age population: 18-65,2011,IDX,Index,103.4106798
